Date,Open,High,Low,Close,Volume
2020-11-06,11697.35,12280.4,11557.4,12263.55,3119310000.0
2020-11-13,12399.4,12769.75,12367.35,12719.95,3417350000.0
2020-11-20,12823.35,12963.0,12730.25,12859.05,2979620000.0
2020-11-27,12960.3,13145.85,12790.4,12968.95,3593800000.0
2020-12-04,13062.2,13280.05,12962.8,13258.55,2655540000.0
2020-12-11,13264.85,13579.35,13241.95,13513.85,2978590000.0
2020-12-18,13571.45,13773.25,13447.05,13760.55,2453540000.0
2020-12-25,13741.9,13777.5,13131.45,13749.25,2313470000.0
2021-01-01,13815.15,14049.85,13811.55,14018.5,1934400000.0
2021-01-08,14104.35,14367.3,13953.75,14347.25,2792440000.0
2021-01-15,14474.05,14653.35,14357.85,14433.7,3886170000.0
2021-01-22,14453.3,14753.55,14222.8,14371.9,3412620000.0
2021-01-29,14477.8,14491.1,13596.75,13634.6,2670420000.0
2021-02-05,13758.6,15014.65,13661.75,14924.25,4475300000.0
2021-02-12,15064.3,15257.1,14977.2,15163.3,3081240000.0
2021-02-19,15270.3,15431.75,14898.2,14981.75,3092120000.0
2021-02-26,14999.05,15176.5,14467.75,14529.15,3661620000.0
2021-03-05,14702.5,15273.15,14638.55,14938.1,2848780000.0
2021-03-12,15002.45,15336.3,14919.9,15030.95,2153410000.0
2021-03-19,15048.4,15051.6,14350.1,14744.0,2845870000.0
2021-03-26,14736.3,14878.6,14264.4,14507.3,2477370000.0
2021-04-02,14628.5,14883.2,14617.6,14867.35,1461420000.0
2021-04-09,14837.7,14984.15,14459.5,14834.85,2453150000.0
2021-04-16,14644.65,14697.7,14248.7,14617.85,2352570000.0
2021-04-23,14306.6,14526.95,14151.4,14341.35,1953440000.0
2021-04-30,14449.45,15044.35,14421.3,14631.1,2450940000.0
2021-05-07,14481.05,14863.05,14416.25,14823.15,2289290000.0
2021-05-14,14928.25,14966.9,14591.9,14677.8,2349860000.0
2021-05-21,14756.25,15190.0,14725.35,15175.3,2694920000.0
2021-05-28,15211.35,15469.65,15145.45,15435.65,2499670000.0
2021-06-04,15437.75,15733.6,15374.0,15670.25,2098600000.0
2021-06-11,15725.1,15835.55,15566.9,15799.35,1891300000.0
2021-06-18,15791.4,15901.6,15450.9,15683.35,2054780000.0
2021-06-25,15525.85,15895.75,15505.65,15860.35,1592580000.0
2021-07-02,15915.35,15915.65,15635.95,15722.2,1357550000.0
2021-07-09,15793.4,15914.2,15632.75,15689.8,1478930000.0
2021-07-16,15766.8,15962.25,15644.75,15923.4,1264020000.0
2021-07-23,15754.5,15899.8,15578.55,15856.05,1075760000.0
2021-07-30,15849.3,15893.35,15513.45,15763.05,1698290000.0
2021-08-06,15874.9,16349.45,15834.65,16238.2,1751740000.0
2021-08-13,16281.35,16543.6,16162.55,16529.1,1408390000.0
2021-08-20,16518.4,16701.85,16376.05,16450.5,1154060000.0
2021-08-27,16592.25,16722.05,16395.7,16705.2,1287820000.0
2021-09-03,16775.85,17340.1,16764.85,17323.6,1553510000.0
2021-09-10,17399.35,17436.5,17254.2,17369.25,965630000.0
2021-09-17,17363.55,17792.95,17269.15,17585.15,1871190000.0
2021-09-24,17443.85,17947.65,17326.1,17853.2,1678510000.0
2021-10-01,17932.2,17943.5,17452.9,17532.05,1940300000.0
2021-10-08,17615.55,17941.85,17581.35,17895.2,1862550000.0
2021-10-15,17867.55,18350.75,17839.1,18338.55,1776720000.0
2021-10-22,18500.1,18604.45,18034.35,18114.9,1900040000.0
2021-10-29,18229.5,18342.05,17613.1,17671.65,1806010000.0
2021-11-05,17783.15,18012.25,17697.1,17916.8,957150000.0
2021-11-12,18040.2,18123.0,17798.2,18102.75,1351800000.0
2021-11-19,18140.95,18210.15,17688.5,17764.8,1122010000.0
2021-11-26,17796.25,17805.25,16985.7,17026.45,1575570000.0
2021-12-03,17055.8,17489.8,16782.4,17196.7,1714830000.0
2021-12-10,17209.05,17543.25,16891.7,17511.3,1185290000.0
2021-12-17,17619.1,17639.5,16966.45,16985.2,1316590000.0
2021-12-24,16824.25,17155.6,16410.2,17003.75,1159120000.0
2021-12-31,16937.75,17400.8,16833.2,17354.05,970350000.0
2022-01-07,17387.15,17944.7,17383.3,17812.7,1175150000.0
2022-01-14,17913.3,18286.95,17879.15,18255.75,1230780000.0
2022-01-21,18235.65,18350.95,17485.85,17617.15,1306610000.0
2022-01-28,17575.15,17599.4,16836.8,17101.95,1401250000.0
2022-02-04,17301.05,17794.6,17244.55,17516.3,1467300000.0
2022-02-11,17456.3,17639.45,17043.65,17374.75,1296670000.0
2022-02-18,17076.15,17490.6,16809.65,17276.3,1270480000.0
2022-02-25,17192.25,17351.05,16203.25,16658.4,1503290000.0
2022-03-04,16481.6,16815.9,16133.8,16245.35,1820140000.0
2022-03-11,15867.95,16757.3,15671.45,16630.45,2421400000.0
2022-03-18,16633.7,17344.6,16555.0,17287.05,1404610000.0
2022-03-25,17329.5,17442.4,17006.3,17153.0,1443230000.0
2022-04-01,17181.85,17703.7,17003.9,17670.45,1566300000.0
2022-04-08,17809.1,18114.65,17600.55,17784.35,1541090000.0
2022-04-15,17740.9,17779.05,17442.35,17475.65,762790000.0
2022-04-22,17183.45,17414.7,16824.7,17171.95,1611540000.0
2022-04-29,17009.05,17377.65,16888.7,17102.55,1451050000.0
2022-05-06,16924.45,17132.85,16340.9,16411.25,1155110000.0
2022-05-13,16227.7,16404.55,15735.75,15782.15,1539810000.0
2022-05-20,15845.1,16399.8,15739.65,16266.15,1370060000.0
2022-05-27,16290.95,16414.7,15903.7,16352.45,1375320000.0
2022-06-03,16527.9,16793.85,16438.85,16584.3,1634100000.0
2022-06-10,16530.7,16610.95,16172.6,16201.8,1105510000.0
2022-06-17,15877.55,15886.15,15183.4,15293.5,1241340000.0
2022-06-24,15334.5,15749.25,15191.1,15699.25,1222470000.0
2022-07-01,15926.2,15927.45,15511.05,15752.05,1577870000.0
2022-07-08,15710.5,16275.5,15661.8,16220.6,1392590000.0
2022-07-15,16136.15,16248.55,15858.2,16049.2,1132200000.0
